,note,creation_date,reps
0,Зеттелькастен.md,2025-01-27 14:52:43.039135,0
1,Андроид-разработка\Activity.md,2025-01-10 18:56:27.923042,0
2,Андроид-разработка\Android-manifest.md,2025-01-10 18:53:32.516124,0
3,Андроид-разработка\Breakpoint.md,2024-12-28 19:40:59.442735,0
4,Андроид-разработка\Debugger.md,2024-12-28 19:40:59.442735,0
5,Андроид-разработка\Gradle.md,2024-12-28 19:46:29.605566,0
6,Андроид-разработка\Logcat.md,2024-12-28 19:41:37.555577,0
7,Андроид-разработка\xml.md,2025-01-10 18:55:22.646815,0
8,Андроид-разработка\Андроид-разработка.md,2025-01-10 18:47:38.569680,0
9,Андроид-разработка\Компоненты приложения.md,2025-01-10 18:44:59.933528,0
10,Андроид-разработка\Модули приложения.md,2024-12-28 19:38:25.377180,0
11,Андроид-разработка\Структура проекта.md,2024-12-28 19:39:16.026899,0
12,Андроид-разработка\Kotlin\Kotlin.md,2024-12-29 17:54:26.125677,0
13,Андроид-разработка\Kotlin\String.md,2024-12-29 20:13:05.052601,0
14,Андроид-разработка\Kotlin\Коллекции.md,2025-01-02 16:48:26.502313,0
15,Андроид-разработка\Kotlin\Обработка ошибок.md,2025-01-10 18:31:29.533008,0
16,Андроид-разработка\Kotlin\Переменные.md,2024-12-29 17:56:45.217510,0
17,Андроид-разработка\Kotlin\Типы данных.md,2024-12-29 19:50:12.108084,0
18,Андроид-разработка\Kotlin\Условные операторы.md,2025-01-01 18:51:44.172168,0
19,Андроид-разработка\Kotlin\Функции.md,2024-12-29 17:59:18.933029,0
20,Андроид-разработка\Kotlin\Циклы.md,2025-01-01 18:55:55.011693,0
21,Андроид-разработка\Kotlin\ООП\Companion-object.md,2025-01-02 17:16:18.899717,0
22,Андроид-разработка\Kotlin\ООП\Data-класс.md,2025-01-02 16:44:11.348235,0
23,Андроид-разработка\Kotlin\ООП\Enum-класс.md,2025-01-02 16:52:41.392555,0
24,Андроид-разработка\Kotlin\ООП\Filter и Map.md,2025-01-02 16:51:47.718231,0
25,Андроид-разработка\Kotlin\ООП\Generics.md,2025-01-10 18:43:25.803877,0
26,Андроид-разработка\Kotlin\ООП\Sealed-класс.md,2025-01-02 16:52:38.034664,0
27,Андроид-разработка\Kotlin\ООП\Абстрактный класс.md,2025-01-02 16:32:26.340303,0
28,Андроид-разработка\Kotlin\ООП\Анонимные объекты.md,2025-01-02 17:16:53.273677,0
29,Андроид-разработка\Kotlin\ООП\Интерфейс.md,2025-01-02 16:37:58.610045,0
30,Андроид-разработка\Kotlin\ООП\Класс.md,2025-01-01 19:03:31.635906,0
31,Андроид-разработка\Kotlin\ООП\Конструктор класса.md,2025-01-01 19:04:45.472864,0
32,Андроид-разработка\Kotlin\ООП\Модификаторы доступа.md,2025-01-01 19:10:55.736689,0
33,Андроид-разработка\Kotlin\ООП\ООП.md,2025-01-01 19:03:14.825700,0
34,Андроид-разработка\Kotlin\ООП\Принципы ООП.md,2025-01-01 19:09:27.047598,0
35,Андроид-разработка\Kotlin\ООП\Паттерны проектирования\Singleton.md,2025-01-02 17:12:56.964385,0
36,Андроид-разработка\Kotlin\ООП\Паттерны проектирования\Паттерны проектирования.md,2025-01-02 17:12:24.716925,0
37,Математика\Математика.md,2025-01-09 09:46:48.644227,0
38,Математика\Геометрия\Геометрия.md,2024-12-17 13:26:53.065432,0
39,Математика\Геометрия\Гомотетия.md,2024-12-17 13:30:01.721575,0
40,Математика\Геометрия\Касание.md,2024-12-17 15:14:28.773898,0
41,Математика\Геометрия\Преобразования.md,2024-12-17 13:29:39.363152,0
42,Математика\Геометрия\Прямая Эйлера.md,2024-12-17 13:27:23.964936,0
43,Математика\Геометрия\Свойства ортоцентра.md,2024-12-17 15:03:16.546973,0
44,Математика\Геометрия\Степень точки.md,2024-12-17 15:07:47.559355,0
45,Математика\Линейная алгебра\Cистемы линейных уравнений.md,2024-11-15 18:14:13.226466,0
46,Математика\Линейная алгебра\Линейная алгебра.md,2024-11-15 09:58:33.824611,0
47,Математика\Линейная алгебра\Линейная комбинация.md,2024-11-19 11:43:52.309047,0
48,Математика\Линейная алгебра\Векторы\Векторы.md,2024-11-15 09:58:33.824611,0
49,Математика\Линейная алгебра\Векторы\Интерпретации векторов.md,2024-11-15 10:05:10.098609,0
50,Математика\Линейная алгебра\Векторы\Норма вектора.md,2024-11-15 21:45:51.876216,0
51,Математика\Линейная алгебра\Векторы\Операции над векторами.md,2024-11-15 10:06:07.775542,0
52,Математика\Линейная алгебра\Матрицы\Вырожденная матрица.md,2024-11-15 18:16:23.648670,0
53,Математика\Линейная алгебра\Матрицы\Диагональная матрица.md,2024-11-19 12:00:27.847176,0
54,Математика\Линейная алгебра\Матрицы\Единичная матрица.md,2024-11-15 18:00:48.974005,0
55,Математика\Линейная алгебра\Матрицы\Матрицы.md,2024-11-15 17:58:43.815456,0
56,Математика\Линейная алгебра\Матрицы\Норма матрицы.md,2024-11-15 18:15:32.276619,0
57,Математика\Линейная алгебра\Матрицы\Обратная матрица.md,2024-11-15 18:14:57.958741,0
58,Математика\Линейная алгебра\Матрицы\Операции над матрицами.md,2024-11-15 17:59:15.737214,0
59,Математика\Линейная алгебра\Матрицы\Определитель матрицы.md,2024-11-15 18:17:47.630769,0
60,Математика\Матанализ\Бином Ньютона.md,2024-11-13 21:44:57.791406,0
61,Математика\Матанализ\Градиент.md,2024-11-17 19:02:13.996229,0
62,Математика\Матанализ\Матанализ.md,2024-11-15 09:56:08.277648,0
63,Математика\Матанализ\Непрерывность функции.md,2024-11-17 17:30:35.502672,0
64,Математика\Матанализ\Неравенство Бернулли.md,2024-11-13 21:59:12.987802,0
65,Математика\Матанализ\Правила дифференцирования.md,2024-11-15 18:52:12.408788,0
66,Математика\Матанализ\Предел.md,2024-11-13 22:14:16.372007,0
67,Математика\Матанализ\Производная.md,2024-11-15 18:48:29.758677,0
68,Математика\Матанализ\Сигмоида.md,2024-11-18 16:38:15.498118,0
69,Математика\Матанализ\Частные производные.md,2024-11-17 18:59:08.614398,0
70,Математика\Матанализ\Экспонента.md,2024-11-17 17:01:46.041388,0
71,Математика\Последовательности\Зацикливание.md,2024-12-17 15:31:28.594361,0
72,Математика\Последовательности\Последовательности.md,2024-12-17 15:30:58.941402,0
73,Математика\Теория вероятности и статистика\Вероятностное пространство.md,2024-11-16 07:53:30.683264,0
74,Математика\Теория вероятности и статистика\Вероятность.md,2024-11-16 19:29:39.140456,0
75,Математика\Теория вероятности и статистика\Выборка.md,2024-11-16 09:10:12.577100,0
76,Математика\Теория вероятности и статистика\Генеральная совокупность.md,2024-11-16 19:41:52.104443,0
77,Математика\Теория вероятности и статистика\Испытание.md,2024-11-16 08:14:21.782830,0
78,Математика\Теория вероятности и статистика\Ковариация.md,2024-11-16 11:32:03.171864,0
79,Математика\Теория вероятности и статистика\Корреляция.md,2024-11-16 12:24:37.357688,0
80,Математика\Теория вероятности и статистика\Независимость случайных величин.md,2024-11-16 09:15:23.757079,0
81,Математика\Теория вероятности и статистика\Независимые события.md,2024-11-16 08:10:12.859621,0
82,Математика\Теория вероятности и статистика\Нормальное распределение.md,2024-11-16 08:53:36.864907,0
83,Математика\Теория вероятности и статистика\Правило трех сигм.md,2024-11-16 11:29:48.420321,0
84,Математика\Теория вероятности и статистика\Распределение случайной величины.md,2024-11-16 08:47:25.445972,0
85,Математика\Теория вероятности и статистика\Случайная величина.md,2024-11-16 08:39:14.278726,0
86,Математика\Теория вероятности и статистика\Событие.md,2024-11-16 08:07:34.799434,0
87,Математика\Теория вероятности и статистика\Стандартная ошибка среднего.md,2024-11-19 13:08:26.974209,0
88,Математика\Теория вероятности и статистика\Теорема Гаусса-Маркова.md,2024-11-19 12:20:13.191996,0
89,Математика\Теория вероятности и статистика\Теория вероятности.md,2024-11-16 07:53:01.488955,0
90,Математика\Теория вероятности и статистика\Условная вероятность.md,2024-11-16 08:09:25.417032,0
91,Математика\Теория вероятности и статистика\Характеристики разброса.md,2024-11-16 11:00:20.257818,0
92,Математика\Теория вероятности и статистика\Характеристики среднего.md,2024-11-16 10:56:28.986375,0
93,Математика\Теория вероятности и статистика\Центральная предельная теорема.md,2024-11-16 19:38:40.709980,0
94,Математика\Теория вероятности и статистика\Элементарный исход.md,2024-11-16 08:05:57.611335,0
95,Математика\Теория графов\Графы.md,2024-12-17 11:03:28.859448,0
96,Математика\Теория графов\Двудольный граф.md,2024-12-17 11:12:48.274887,0
97,Математика\Теория графов\Лемма о рукопожатиях.md,2024-12-17 11:04:06.041619,0
98,Математика\Тригонометрия\sin(arcsin) и наоборот.md,2025-01-09 10:15:56.466952,0
99,Математика\Тригонометрия\Арк-функции.md,2025-01-09 09:45:01.865476,0
100,Математика\Тригонометрия\Тождества в арк-функциях.md,2025-01-09 10:24:22.193735,0
101,Математика\Тригонометрия\Тригонометрия.md,2025-01-09 09:45:26.906448,0
102,Математика\Тригонометрия\Четность арк-функций.md,2025-01-09 10:19:16.549206,0
103,Математика\Функции\Обратные функции.md,2025-01-09 10:26:01.666973,0
104,Математика\Функции\Функции.md,2025-01-09 10:26:01.666973,0
105,Математика\Функции\Четность обратных функций.md,2025-01-09 10:20:06.228192,0
106,Машинное обучение\EDA.md,2025-01-14 19:01:18.505802,0
107,Машинное обучение\Pipeline машинного обучения.md,2024-11-17 09:23:09.443963,0
108,Машинное обучение\Pipelines.md,2025-01-17 09:03:01.743766,0
109,Машинное обучение\лайфхаки.md,2024-12-15 18:01:15.702207,0
110,Машинное обучение\Машинное обучение.md,2025-01-16 21:19:00.708397,0
111,Машинное обучение\Полезные штуки.md,2025-01-16 21:19:28.182346,0
112,Машинное обучение\Тестирование модели.md,2025-01-04 12:31:16.895392,0
113,Машинное обучение\NLP\Bag of words.md,2025-01-10 09:40:05.823851,0
114,Машинное обучение\NLP\BERT.md,2025-01-16 12:41:06.459913,0
115,Машинное обучение\NLP\FastText.md,2025-01-16 10:43:40.087418,0
116,Машинное обучение\NLP\few_shot классификация текста.md,2025-01-13 11:05:47.359808,0
117,Машинное обучение\NLP\Glove.md,2025-01-10 09:45:33.653960,0
118,Машинное обучение\NLP\Named entity recongition.md,2025-01-17 09:43:03.567557,0
119,Машинное обучение\NLP\NLP.md,2025-01-10 09:34:25.504880,0
120,Машинное обучение\NLP\Spacy.md,2025-01-17 09:03:42.086904,0
121,Машинное обучение\NLP\TF-IDF.md,2025-01-10 10:15:34.264642,0
122,Машинное обучение\NLP\Word2Vec.md,2025-01-10 09:45:27.677128,0
123,Машинное обучение\NLP\Zero-shot классификация текста.md,2025-01-13 11:04:13.106041,0
124,Машинное обучение\NLP\Библиотека transformers.md,2025-01-13 11:06:49.876169,0
125,Машинное обучение\NLP\Выделение признаков из текста.md,2025-01-10 09:38:46.593431,0
126,Машинное обучение\NLP\Лемматизация.md,2025-01-10 09:58:49.051919,0
127,Машинное обучение\NLP\Методы классификации текста.md,2025-01-10 09:34:43.107328,0
128,Машинное обучение\NLP\Перевод с помощью word2vec.md,2025-01-13 11:43:19.265815,0
129,Машинное обучение\NLP\Предобработка текста.md,2025-01-10 09:53:47.172618,0
130,Машинное обучение\NLP\Стэминг.md,2025-01-10 13:01:27.479034,0
131,Машинное обучение\NLP\Суммаризация.md,2025-01-13 11:11:56.499465,0
132,Машинное обучение\NLP\Токенизация в Keras.md,2025-01-17 10:21:08.386218,0
133,Машинное обучение\NLP\Токенизация.md,2025-01-10 09:55:34.303922,0
134,Машинное обучение\NLP\Эмбеддинги на основе трансформеров.md,2025-01-16 12:40:54.713940,0
135,Машинное обучение\NLP\Эмбеддинги слов.md,2025-01-10 09:43:06.636584,0
136,Машинное обучение\Python\All.md,2025-01-04 11:35:34.925181,0
137,Машинное обучение\Python\Dataframe sample.md,2024-12-10 14:02:26.713239,0
